,id,titolo,modello,desc,link,anno,chilometri,cambio,price
79,80,FERRARI F430 430 SCUDERIA F1,F430,"Chilometraggio: 29716 
 Condizioni: usato 
 Immatricolazione: 06/2011 
 Tipologia: Coupè 
 Carburante: Benzina 
 Tipo di cambio: Automatico 
  
 Volante Led, Fari Xenon, Controllo automatico clima, ESP, ABS, Airbag, Airbag laterali, Airbag Passeggero 
  
 Rif. interno: 97127 
  
  
 Per tua comodità scrivici su WHATSAPP al seguente numero 3319981407. Inoltre vi aspettiamo presso l'ampia esposizione di Cassola (VI) 
 dove potrete trovare più di 500 vetture, a Cittadella (PD) e a Vicenza. 
 Operiamo nel settore da più di 35 anni con serietà e trasparenza, mettendo al primo posto la Vostra soddisfazione. 
 Siamo a disposizione per eventuali permute. 
 Offriamo i servizi seguenti: officina dedicata solamente ai nostri clienti, finanziamenti personalizzati, pacchetti assicurativi e noleggio. Qualsiasi auto che vendiamo ha il chilometraggio certificato, vengono controllate in ogni loro parte dal nostro centro assistenza. 
 Per essere sempre aggiornato sulle nostre ultime migliori offerte seguici su Facebook, Youtube e instagram! 
 Il servizio clienti è attivo dal lunedì al venerdì dalle ore 8.30 alle 12.30 e dalle 14.30 alle 19.30, il sabato dalle ore 9 alle 12.30 e dalle 14-30 alle 18.30. 
 Ti invitiamo a verificare la disponibilità e la corrispondenza delle caratteristiche delle vetture disponibili. 
 Se sei interessato all'auto, in risposta all'annuncio indica: città e numero telefonico. 
 In caso di permuta, indica: marca, modello, colore, mese ed anno di immatricolazione, chilometri, accessori principali, cambio, KW/CV e stato della vettura (meglio se con foto allegate o numero di targa). 
 Frattin Auto declina ogni responsabilità per eventuali involontarie incongruenze rispetto alla descrizione dell'annuncio. 
  
 Contatti: 0424533348 , 3319981407 
 Rivenditore FRATTIN AUTO SRL",https://www.subito.it/auto/ferrari-f430-430-scuderia-f1-vicenza-331091266.htm,06/2011,29716,Automatico,179990
80,81,Ferrari 488 GTB ,488,"DEK:[3146714] 
 AFS1 PROIETTORI ANTERIORI ADATTATIVI 
 CALY CALIPER FRENI COLORE GIALLO 
 CIDL ZONA GUIDA IN CARBONIO + LEDS 
 DAYT SEDILI IN STILE DAYTONA 
 ELEV SOLLEVATORE DI DISIMPEGNO 
 EMPH CAVALL.CUCITI SU POGGIATESTA FILO GIALLO 0113 
 HELE HIGH EMOTION LOW EMISSION  
 LOGO SCUDETTI 'SCUDERIA FERRARI' 
 PAC1 PARKING CAMERA 
 PAR2 SENSORI PARCHEGGIO ANT.E POST 
 RPMY FONDO CONTAGIRI GIALLO 
 RSFE SEDILE FULL ELETRIC 
 SNDH SISTEMA HIFI PREMIUM 
 SPEC ALLESTIMENTI SPECIALI  
 TYMX PNEUMATICI MICHELIN 
  
 Description:  
 AFS1 Adaptive front lamps 
 Caly caliper brake yellow caliper  
 CIDL carbon guide zone + leds  
 DAYT Daytona style seats  
 ELEV lift of disengagement  
 EMPH CAVALL. sewn on yellow wire headrest 0113 
 HELE high emotion low emission  
 Logo scudetti ""Scuderia Ferrari"" 
 PACK1 parking camera  
 PAR2 front and back parking sensors 
  RPMY background tachometer yellow  
 RSFE full electric seat  
 SNDH premium hifi system  
 SPEC special fittings 
 TYMS tires Michelin  
  
  
 Permutiamo la TUA auto usata, chiamaci e prenota la TUA valutazione. 
  
 Estensione garanzia fino a 36 sull'usato km illimitati 
  
 Offriamo proposte di Finanziamento calibrate secondo le tue esigenze. La nostra compagnia finanziaria valuta velocemente la TUA richiesta. 
  
 Passaggio di Proprietà e Bollo non inclusi nel prezzo. 
  
 Per agevolare la tua richiesta inserisci un recapito telefonico, specificando un orario in cui preferisci essere ricontattato. 
  
 Per tutte le altre nostre offerte visita il NOSTRO SITO WEB  
  
 LE FOTO DEL VEICOLO SONO REALI. 
 *La dotazione tecnica e gli accessori indicati nella scheda potrebbero non coincidere con l'effettivo equipaggiamento del veicolo, a causa dei possibili aggiornamenti di allestimento e della non uniformità dei dati pubblicati dai diversi portali. Ti invitiamo a verificare con i nostri consulenti le specifiche del veicolo. Automobili Coero Borga s.r.l. declina ogni responsabilità per eventuali involontarie incongruenze che non rappresentano in alcun modo un...",https://www.subito.it/auto/ferrari-488-gtb-cuneo-315787017.htm,11/2015,30000,Automatico,180000
81,82,Ferrari F430 F430 F1,F430,"FERRARI F430 F1 
 KM 16.000 
 LE OFFERTE SONO VALIDE SENZA RITIRO DI PERMUTA. 
 IN CASO DI PERMUTA VI INVITIAMO A CONTATTARCI ED INVIARCI FOTO E DATI DELLA VOSTRA AUTOVETTURA (ES. KM,CILINDRATA,ANNO E ALLESTIMENTO),AL FINE DI POTER EFFETTUARE UNA VALUTAZIONE IN TEMPI RAPIDI.  
 ------------------------------------------------------------- 
 OPTIONAL 
 - CERCHI IN LEGA 19° 
 - INTERNI IN PELLE 
 - RADIO CD+MP3 
 - TELEFONO 
 - INTERNI SPORTIVI DAYTONA 
 - NAVIGATORE BECKER 
 - CAMBIO AUTOMATICO F1 
 - CAMBIO AL VOLANTE 
 - FARI BI-XENON 
 - FRENI CARBOCERAMICA CON PINZE GIALLE 
 - SCARICHI SPORTIVI 
 ----------------------------------------------------------- 
 TUTTE LE NOSTRE VETTURE SONO REALMENTE IN SEDE PRONTA VISIONE E PROVA. 
 ----------------------------------------------------------- 
 FINANZIAMENTI PERSONALIZZATI IN SEDE CON ESITO IN 24 ORE. 
 ----------------------------------------------------------- 
 ORARI 
 LUN A VEN 9:30-----13:00 15:30-----19:30 
 SAB 9:30-----13:30 
 ----------------------------------------------------------- 
 PER INFO E APPUNTAMENTI CHIAMARE IL SEGUENTE NUMERO 342/6375938  
  
 ABS; Airbag, Airbag Passeggero, Antifurto, Autoradio, Cerchi in Lega, Comandi al volante, Fari Xenon, Interni Pelle, Lettore CD, Lettore CD MP3, Park Distance Control 
  
 Tel: 3426375938.",https://www.subito.it/auto/ferrari-f430-f430-f1-isernia-331064684.htm,09/2005,16000,Sequenziale,130000
82,83,Ferrari 308 GTBII,208/308/328/GTO,"Vendo ferrari 308 GTBII anno 1982 30.00km percorsi originali colore rosso interni Neri cinghie fatte targa originale perfetta, certificazione asi",https://www.subito.it/auto/ferrari-308-gtbii-arezzo-292081318.htm,08/1982,50,-,70000
83,84,Ferrari 458 Italia 2012,458,"Vettura perfetta in tutto full, tagliandi Ferrari con bok service tutti eseguiti , gomme nuove , scarichi sportivi, pacchetto carbonio con volante carbonio contagiri LED...!!!",https://www.subito.it/auto/ferrari-458-italia-2012-trapani-307891402.htm,06/2012,59999,-,139999
84,85,Ferrari 208/308/328/gto - 1987,208/308/328/GTO,"Nulla cattura l'immaginazione più di una Ferrari 328 GTB d'epoca. 
  Il design di Pininfarina è di una bellezza senza paragoni, anche riconosciuto dai non appassionati. 
  E' dotata di un potente motore da 3200 cc di 270 cv 8 cilindri a V è il Quattrovalvole 
  (letteralmente: 4 valvole per cilindro), ha una coppia eccezionale già a bassi regimi; 
  questa è una delle ultime Ferrari costruite con ancora Enzo Ferrari in vita, (800 sono in tutto le vetture 328 GTB costruite dallo stabilimento Ferrari) nella serie 328 GTB,  
 auto fortemente voluta dall'Ing. Enzo Ferrari, rispetto al suo precedente modello ""308 GTB"" 
 questo tipo di auto è più affidabile e sofisticata,  
 è stata prodotta tra il 1985 e il 1988. 
  Inoltre, la versione GTB della 328 è senza dubbio l'auto con il più alto  
 fattore di divertimento.  
 L'auto è molto curata e viene consegnata con libretti, le ricevute, e gli attrezzi Ferrari originali. 
  L'auto non ha mai subito danni e la vernice è di colore Rosso Ferrari, ed è ancora molto curata. 
  Gli interni sono completamente originali. 
 Questa auto è stata esposta al museo Ferrari di Maranello, il suo numero di telaio risulta nei registri del Museo. 
  L'auto funziona piacevolmente ed è un vero piacere guidarla.  
  
 Non bisogna lasciarsi sfuggire l'opportunità di diventare il nuovo proprietario di questa bellissima Ferrari, mentre il mercato Ferrari è in forte ascesa, (sono state prodotte solo 800 auto nella versione della 328 GTB, non si conosce il numero di quelle ancora in circolazione) questa vettura e destinata a crescere come valore, essendo l'ultima vera vettura Ferrari, costruita su telaio tubolare manualmente dagli artigiani Ferrari sotto la guida del suo fondatore.  
 Iscritta al registro Auto Storiche Italiane ASI 
  
 SOLO CONTATTO TELEFONICO",https://www.subito.it/auto/ferrari-208-308-328-gto-1987-lecce-253915529.htm,01/1987,52000,Manuale,83000
85,86,Ferrari 360 - 2002,360,"Vendo Ferrari 360 Modena in perfette condizioni, dispone di alcuni optionals come il rollbar interno, cerchi di 18"", marmitta Sound in acciaio inox, scudetti in ceramica.",https://www.subito.it/auto/ferrari-360-2002-pisa-315873963.htm,03/2002,63267,Automatico,76000
86,87,Ferrari 348 tb,348,Vendo ferrari 348 tb del 1990 batteria posteriore tagliandata con 85.000 km iscritta asi auto storiche con assicurazione e bollo ridotto in ottime condizioni qualsiasi prova meccanica euro 50.000,https://www.subito.it/auto/ferrari-348-tb-palermo-307871739.htm,01/1990,85000,-,50000
87,88,Ferrari California dic2011 tenuta maniacalmente,California,"FERRARI CALIFORNIA DCT , TENUTA PERFETTAMENTE, CERTIFICAZIONE CHILOMETRAGGIO CON LIBRETTO TAGLIANDI UFFICIALE , GARANZIA POWER FERRARI ESTESA, pacchetto manutenzione ferrari 7 anni , colore nero carbone Ferrari metallizzato , sensori di parcheggio anteriori e posteriori , fari full Led e Xenon adattivi , cerchi in lega R 20 , scudetti laterali Ferrari nuovi , freni carbocermici , sospensioni magnetic logic , interni in pelle Daytona totalmente Rossi , cuciture rosse , cruscotto rivestito in pelle totalmente , regolazione elettrica dei sedili con memorie , volente multifunzione in pelle con regolazione elettrica , sedili riscaldati , cavallino rampante sui poggiatesta , leve al volante , controllo pressione pneumatici , cruise control , navigatore satellitare , predisposizione telefono , bluetooth , impianto stereo con caricatore USB-AUZ , antifurto , climatizzatore automatico , start & stop , ecc... 
  
 CONDIZIONI perfette ! 
  
 Auto Italiana, sedili e attrezzi ancora imbustati . 
  
 Annuncio di Privato ! 
  
 PER INFO : 3346713663",https://www.subito.it/auto/ferrari-california-dic2011-tenuta-maniacalmente-napoli-299973038.htm,12/2011,15000,Automatico,105000
88,89,FERRARI 458 Italia DCT UNICOPROPRIETARIO FRENI C,458,"Chilometraggio: 50000 
 Condizioni: usato 
 Immatricolazione: 06/2011 
 Tipologia: Coupè 
 Carburante: Benzina 
 Tipo di cambio: Sequenziale 
  
 ABS, Airbag, Airbag laterali, Airbag Passeggero, Controllo trazione, ESP, Fari Xenon, Luci diurne, Sensore di luce, Alzacristalli elettrici, Boardcomputer, Chiusura centralizzata, Climatizzatore, Controllo automatico clima, Park Distance Control, Sensori di parcheggio anteriori, Sensori di parcheggio posteriori, Servosterzo, Specchietti laterali elettrici, Autoradio, Bluetooth, MP3, Volante multifunzione, Antifurto, Cerchi in lega, Immobilizzatore elettronico, Airbag testa, Chiusura centralizzata telecomandata, Leve al volante, Luci diurne LED, Marmitta catalitica, Monitoraggio pressione pneumatici, Pacchetto sportivo, Sedili sportivi, Sound system, Volante in pelle 
  
 FERRARI 458 ITALIA DTC UNICOPROPRIETARIO 
 VENITE A VISITARE IL NOSTRO NUOVO SITO: www.luxurycars.live  
 TROVERETE ULTERIORI FOTO DETTAGLIATE E REALI DELLE AUTO 
  
 AUTO SEMPRE TENUTA MANIACALMENTE CON TAGLIANDO APPENA EFFETTUATO IN FERRARI 
 TUTTI I LIBRETTI SERVICE ORIGINALI DISPONIBILI 
  
 COLORE ESTERNO: ROSSO 
 COLORE INTERNO: BEIGE PELLE 
 CAMBIO: F1 AUTOMATICO 
  
 DOTAZIONI: 
 LOGO FERRARI ILLUMINATO ALL'APERTURA DELLE PORTE 
 FRENI CARBOCERAMICI 
 CERCHI IN LEGA DA 20 
 SCUDETTI SUI PARAFANGHI ANTERIORI 
 SENSORI DI PARCHEGGIO ANTERIORI E POSTERIORI 
 SELETTORE MODALITA' DI GUIDA 
 TELO COPRI AUTO E COPRISEDILE 
 SCARICHI DOPPIO SOUND 
 COFANO MOTORE CON VETRO TRASPARENTE 
 FARI XENO 
 LUCI DIURNE A LED 
 SENSORE LUCI 
 SENSORE PIOGGIA 
 SPECCHI ESTERNI RICHIUDIBILI ELETTRICAMENTE 
 CLIMATIZZATORE AUTOMATICO BIZONA 
 LOUNCH CONTROL 
 VOLANTE A REGOLAZIONE ELETTRICA 
 ASSETTO CON REGOLAZIONE ELETTRONICA 
  
  
  
 PER QUALSIASI INFORMAZIONE CONTATTATECI AL NUMERO  
 3386676624 
  
 SIAMO APERTI DAL LUNEDI AL SABATO 
 ORARI:  
 08:30 - 1 
  
 Contatti: 3386676624 , 0495743136 
 Rivenditore CARS CITY SRL",https://www.subito.it/auto/ferrari-458-italia-dct-unicoproprietario-freni-c-padova-331022542.htm,06/2011,50000,Sequenziale,140000
89,90,FERRARI 458 ITALIA DCT 570 cv,458,"FERRARI 458 ITALIA DCT 570 cv 
 Immatricolzione: 24-03-2011 
 km: 37351 
  
 TARGA: FM458AB 
 TELAIO: 00179951 
  
 VEICOLO UFFICIALE ITALIA 
 CRONOLOGIA DEI TAGLIANDI 
 GARANZIA FERRARI SA.MO.CAR POWER 1 ANNO 
 VEICOLO IN STOCK PRONTA CONSEGNA 
 ACCETTIAMO EVENTUALE PERMUTA 
  
 OPTIONAL: 
  
 FRENI CARBOCERAMICA 
 PINZE FRENO ROSSE 
 FARI BI-XENON 
 CERCHI IN LEGA 20 
 SOSPENSIONI ATTIVE 
 VOLANTE IN ALCANTARA 
 CLIMA AUTOMATICO 
 RADIO CD+ BLUETOOTH 
 CRUSCOTTO IN PELLE 
 SCUDETTI FERRARI 
 VERNICE MET. ROSSO CORSA 
 INTERNI IN PELLE NERA 
 CAMBIO AL VOLANTE 
 TELO UFFICIALE COPRIAUTO/SEDILI/VOLANTE 
  
 PER INFO 
  
 GIUSEPPE GRAVINA 
  
 CELL:+39 331 63 21 384 
  
 DISPONIBILITÀ DI OLTRE 2.000 VEICOLI 
 A KM.0 E/O AZIENDALI DI TUTTE LE MARCHE, 
 IN PRONTA CONSEGNA NEI NOSTRI PIAZZALI. 
 VISITA IL NOSTRO SITO  
  
 VIENI A TROVARCI SIAMO QUI: 
  
 GRUPPO PICCIRILLO SPA 
 CURTI (CE) 81040 
 VIA MADONNA DELLE GRAZIE N.40 
 TEL.: 0823/849621",https://www.subito.it/auto/ferrari-458-italia-dct-570-cv-caserta-330937499.htm,03/2011,37351,Automatico,139900
90,91,FERRARI 348 ts cat,348,"Chilometraggio: 23000 
 Condizioni: usato 
 Immatricolazione: 12/1991 
 Tipologia: Cabrio 
 Carburante: Benzina 
 Tipo di cambio: Manuale 
  
 Alzacristalli elettrici, Interni in pelle, Tetto panorama, Autoradio, Antifurto, Cronologia tagliandi, Pacchetto sportivo, Volante in pelle 
  
  
 UNICO PROPRIETARIO - KW221 - CV 300 
 BATTERIA ANTERIORE  
 KM 23.100 
 APPANA EFFETTUTATO TAGLIANDO COMPLETO E DISTRIBUZIONE COMPLETA 
 KIT ATTREZZI CON VALIGETTA ORIGINALE FERRARI 
 KIT TUTTI I LIBRI USO E MANUTENZIONE CON CUSTODIA IN PELLE FERRARI 
 PRESENTE CONTRATTO ACQUISTO - FATTURA ACQUISTO DEL VECCHIO PROPRIETARIO - COPIA DEL FOGLIO COMPLEMENTARE - FATTURE LAVORI ESEGUITI IN FERRARI 
 LA VETTURA E' PERFETTA IN TUTTO E PER TUTTO 
  
  
 Auto paragonabile al nuovo, tagliando appena eseguito. 
 Il pagamento può avvenire anche con finanziamento personalizzato. Valutazione della vostra permuta. 
 Il prezzo pubblicato non comprende il passaggio di proprietà. 
 Per i clienti che arrivano da fuori Torino accoglienza alla stazione ferroviaria di Torino oppure all'aeroporto di Caselle.  
 Garanzia 12 mesi. 
  
 Contatti: 0119019123 , 3661099222 
 Rivenditore AUTOCRONO s.r.l.",https://www.subito.it/auto/ferrari-348-ts-cat-torino-317464318.htm,12/1991,23000,Manuale,71500
91,92,FERRARI 360 MODENA  F 1    ** UN SOGNO REALIZZAB,360,"Chilometraggio: 49102  
  Condizioni: usato  
  Immatricolazione: 04/2003  
  Tipologia: Coupè  
  Carburante: Benzina  
  Tipo di cambio: Automatico  
    
  specchietti elettrici, Servosterzo, Lettore CD, Interni in pelle, Immobilizzatore elettronico, full optional, Fendinebbia, Fari Xenon, ESP, Cronologia tagliandi, Controllo trazione, COMANDI AL VOLANTE, Chiusura centralizzata, Cerchi in lega, Autoradio, asr, aria condizionata, Antifurto, Airbag Passeggero, Airbag laterali, Airbag, ABS  
    
    
     
     
  COME DA TITOLO VI PROPONIAMO UNA BELLISSIMA FERRARI 360 MODENA CON CAMBIO F1, PALETTE AL VOLANTE   
     
  AUTOVETTURA TENUTA IN MODO MANIACALE   
     
  SCARICO POWER   
     
  PRESENTI IN AUTO TUTTE LE BROUCHURE , LIBRO ISTRUZIONI, MANUTENZIONI, ETC..   
     
  TUTTO CUSTODITO IN FODERO IN PELLE ORIGINALE FERRARI.   
     
  AUTO CON IVA ESPOSTA   
     
  POSSIBILITA' DI FINANZIAMENTO   
    
  SEGUITECI ANCHE SU FACEBOOK CLICCA"" MI PIACE "", ALLA PAGINA Superauto Atena Lucana "" ,  
    
  POSSIBILITà DI SPEDIZIONE IN TUTTA ITALIA E CON IL RITIRO DIRETTO IN SEDE CONSEGNA MASSIMA IN 1 ORA.  
    
  LA SUPERAUTO SNC è PRESENTE SUL MERCATO DA OLTRE 45 ANNI , VENDIAMO AUTO DA SECONDA GENERAZIONE,  
    
  VISITATE IL NOSTRO SITO sitoweb OLTRE 250 AUTO D'OCCASIONE   
    
  COME RAGGIUNGERCI:  
  AUTOSTRADA ( A3 ) SA/RC , uscita Atena Lucana Scalo , alla rotonda svoltare alla prima a destra , direzione Polla , 800 mt sulla vostra destra.  
    
  Contatti: 097571265 , 3405675944  
  Rivenditore superauto de angelis",https://www.subito.it/auto/ferrari-360-modena-f-1-un-sogno-realizzab-salerno-164610168.htm,04/2003,49102,Automatico,69000
92,93,FERRARI F430 COUPÉ F1 tagliandi ferrari,F430,"FERRARI F430 
 COUPÉ F1 
  
 OBACAR 
 3474025955 
 vendite@obacar.it 
  
 Termoli(CB), via dei Palissandri n°8 (86039) 
  
 Km certificati  
 Automobile italiana 
 Pronta consegna 
  
 ALIMENTAZIONE: benzina 
 POTENZA: 485cv (357kw) 
 IMMATRICOLAZIONE: 2005 
 CONDIZIONI: pari al nuovo 
 KM: 60000 
  
 MANUTENZIONI 
 08/06 km 8383 
 12/11 km 31615 
 08/16 km 57265 
  
 OPTIONAL ESTERNI 
 Vernice extra serie 
 Freni carboceramici (pinza rosse) 
 Paratia anteriore in carbonio 
 Scudetti in ceramica 
  
 OPTIONAL INTERNI 
 Sedili Daytone elettrici 
 Pacchetto carbonio esteso 
 Impianto amplificato 
 Autoradio 
 Aria condizionata 
  
 AUTO DISPONIBILE A: (Previo appuntamento) 
  CONTROLLO IN OFFICINA 
  
  ACCETTIAMO PERMUTA 
 VALUTAZIONE IMMEDIATA DELLA PERMUTA  
  FOTO E DETTAGLI 
  WhatsApp 3474025955 
  
 LE FOTO SONO REALI AL 100% PRIVE DI FOTOMONTAGGI O ALTRE MODIFICHE. LE INFORMAZIONI CONTENUTE NEI NOSTRI ANNUNCI SONO COMPILATE CON CURA E SERIETA' PER OFFRIRE AL CLIENTE IL MASSIMO DELLA PROFESSIONALITA', TALVOLTA POTREBBERO PRESENTARSI ERRORI E/O OMISSIONI.",https://www.subito.it/auto/ferrari-f430-coupe-f1-tagliandi-ferrari-campobasso-330869737.htm,05/2005,59000,Automatico,89990
93,94,308 ferrari gtb italiana book service cartersecco,208/308/328/GTO,"Ferrari 308 GTB Italia Carter Secco 1979 
 unico proprietario 
 libro tagliandi ufficiale 
 mai incidentata 
 vernice originale 
 motore originale MC number 
 fatto taliando 08/01/2019 
 condizioni perfette e originali 
 auto rarissima carter secco prodotta solo nel 79 
 Fatto tagliando distribuzione gennaio 2019 compreso di cinghia più filtri più olio 
  
 info 342.550.6180 Marco 
  
 si parla 
  
 Inglese Francese Spagnolo",https://www.subito.it/auto/308-ferrari-gtb-italiana-book-service-cartersecco-bergamo-328886658.htm,06/1979,35000,Manuale,119000
94,95,Ferrari 208 turbo del 1984,208/308/328/GTO,"Ferrari turbo 208 aria condizionata doppi specchi elettrici originali e 288 doppio allarme antifurto cerchioni originali in magnesio più cerchioni in alluminio pinze freni nuove più dischi fondo posteriore estruzore motore nuovo, con idroguida",https://www.subito.it/auto/ferrari-208-turbo-del-1984-padova-315603181.htm,05/1984,65500,-,75000
95,96,FERRARI Mondial - 1983,Mondial,"Ferrari Mondial Quattrovalvole del 1983 full optional,pelle champagne,iscritta ASI, perfettamente funzionante,scarichi in acciaio oltre a quelli originali,telo copriauto rosso,bellissima.",https://www.subito.it/auto/ferrari-mondial-1983-milano-321657079.htm,05/1983,42900,Manuale,42000
96,97,Ferrari f430 - 2005,F430,"FERRARI F430 F1 
 ANNO 01-2005 
 KM: 15.019 
 Cod. art.: CR222SR 
  
 VEICOLO UFFICIALE ITALIANO 
 VEICOLO UNICO PROPRIETARIO 
 CERTIFICAZIONI DEI TAGLIANDI 
  
 Optional: 
 CAMBIO AL VOLANTE 
 CAMBIO AUTOMATICO 
 CLIMA AUTOMATICO 
 FARI BIXENON 
 IMPIANTO SCARICO SPORTIVO 
 INSERTI IN CARBONIO 
 INTERNI IN PELLE 
 PINZE FRENO ROSSE 
 RADIO CD MP3 
 VOLANTE IN PELLE MULTIFUNZIONE 
 VEICOLO IN PRONTA CONSEGNA 
 4 GOMME NUOVE PIRELLI P0 
 TAGLIANO APPENA EFFETTUATO PRESSO OFFICINA FERRARI 
  
 PER INFO 
 MR. GIUSEPPE GRAVINA 
  
 TEL. 0039 331 63 21 384 
  
 WE SPEAK ENGLISH 
 NOUS PARLONS FRANCAIS 
  
 POSSIBILITÀ DI FINANZIAMENTO IN SEDE 
 ACCETTIAMO EVENTUALE PERMUTA 
  
 DISPONIBILITÀ DI OLTRE 2.000 VEICOLI 
 A KM.0 E/O AZIENDALI DI TUTTE LE MARCHE, 
 IN PRONTA CONSEGNA NEI NOSTRI PIAZZALI. 
 VISITA IL NOSTRO SITO  
  
 VIENI A TROVARCI SIAMO QUI: 
 GRUPPO PICCIRILLO SPA 
 CURTI (CE) 81040 
 VIA MADONNA DELLE GRAZIE N.40 
 TEL.: 0823/849621",https://www.subito.it/auto/ferrari-f430-2005-caserta-325395590.htm,01/2005,15019,Automatico,104900
97,98,Ferrari F355 355 3.5 GTS,F355,"FERRARI F355 3.5 GTS 
  
 Visita il nostro sito tridentumauto.com per vedere maggiori foto e dettagli!  
  
 07.1997 
 67.100km 
  
 Il motore, ubicato nella parte centrale dell'auto, era un 8 cilindri a V di 90° di 3,5 litri di cilindrata con distribuzione a 5 valvole per cilindro, capace di sviluppare una potenza massima di 380 CV a 8250 giri/min 
 Di derivazione dalla Formula 1 la F355 adotta l'iniezione elettronica, fondo piatto, cambio sequenziale e sospensioni a controllo elettronico regolabili dall'abitacolo su due differenti settaggi, Normale e Sport. 
 La versione F355 GTS, mantiene inalterata la linea della coupé, pur essendo dotata di un tettuccio apribile rigido classico delle vetture ""tipo"" targa. 
  
 Pinze Gialle 
 Scarico sportivo 
 Specchi regolabili elettricamente 
 Pedaliera sportiva 
 Scudetti laterali 
 Interno in pelle totale 
 Doppio airbag 
 Climatizzatore 
 Antifurto 
 Fari Fendinebbia 
  
 La dotazione tecnica e gli optional potrebbero in alcuni casi differire 
 dall'effettivo equipaggiamento della vettura. 
 Si declina ogni responsabilità per eventuali involontarie incongruenze, 
 che non rappresentano un impegno contrattuale. 
  
 [Cod: 1050466|BSM|U] [Veicolo: 1540] 
  
 ",https://www.subito.it/auto/ferrari-f355-355-3-5-gts-trento-330801807.htm,07/1997,67100,-,69355
98,99,Ferrari F355 FERRARI 355 SPIDER CAMBIO MANUALE,F355,"Ferrari F355 Spider Manuale 
 Colore Giallo 
 interni Neri 
 capote Nera 
 Tagliandi effettuati sempre in officina autorizzata Ferrari 
 2 proprietari 
 Verrà consegnata con tagliando effettuato in officina autorizzata Ferrari 
  
  
  
 AUTO SOLARI MILANO 
  TEL. +39 3281574925",https://www.subito.it/auto/ferrari-f355-ferrari-355-spider-cambio-manuale-milano-307653715.htm,09/1995,54800,Manuale,89000
99,100,FERRARI 550 Maranello,550,"Autovettura tagliandata e certificata ASI 
  
 motore 12 cilindri 
 5474 cc 
 478 HP 
  
 Pelle nera",https://www.subito.it/auto/ferrari-550-maranello-pordenone-299602825.htm,05/1997,90000,Manuale,85000
100,101,Ferrari 330 GT 22,Altro modello,"Immatricolazione: 07/1966 
 Potenza: 221 kw (300 CV) 
 Chilometraggio: 17.790 km 
  
  
 Alimentazione: Benzina 
 Cilindrata: 3.967 
 Cilindri: 12 
 Trasmissione: Manuale 5 rapporti 
 Trazione: Posteriore 
  
 Colore esterno: Argento 
 Colore interno: Pelle totale nera 
  
  
 La vettura è stata restaurata completamente 27 anni proveniente da collezione privata, motore Ferrari 330 GTC. 
 Condizioni pari al nuovo. 
  
 Fu costruita in due serie, che differivano principalmente dai gruppi ottici dei fanali anteriori. Nella prima, prodotta dal 1964 al 1965, erano quattro, mentre nella seconda, prodotta dal 1965 al 1967, erano solo due. 
 La prima serie fu presentata al Salone dell'automobile di Bruxelles nel gennaio del 1964, e rimpiazzò la 250 GT 2+2. Fu progettata da Pininfarina che studiò un modello con un passo più lungo di 50 mm e con lo spazio per i passeggeri posteriori più ampio. 
 La seconda serie (vettura da noi proposta) fu lanciata nella metà del 1965 con un frontale totalmente nuovo, che la faceva rassomigliare alla 275 GTS. Furono modificati i cerchioniche da una struttura a raggi, peculiare delle Ferrari dell'epoca, divennero forati. Furono anche approntati cambiamenti alle prese d'aria, agli interni e fu aggiunta l'aria condizionata. 
 Furono costruiti 625 esemplari della prima serie e 474 della seconda. Con questo modello ci fu la definitiva consacrazione delle versioni 2+2. Fu rimpiazzata dalla 365 2+2. 
  
 Vettura visibile presso nostra sede, JUST MOTORS SRL, Via del lavoro, 74, 37012 Bussolengo (VR). 
  
 sito 
  
  
 Il mercato delle auto da collezione si è significativamente ampliato fino a diventare uno straordinario investimento finanziario a pieno titolo. Con una crescita di valore superiore al 350% in 10 anni, questo mercato è diventato una classe di investimento alternativa che risulta poco legata alle asset class tradizionali, e che consente un'interessante diversificazione del portafoglio. 
 La Nostra azienda per questo co",https://www.subito.it/auto/ferrari-330-gt-22-verona-330754575.htm,07/1960,17790,Manuale,285000
101,102,Ferrari 612 Scaglietti F1,612,"AUTO IN PERFETTE CONDIZIONI ESTETICHE E MECCANICHE, 2 PRECEDENTI PROPRIETARI, SEMPRE TAGLIANDATA DA SERVICE UFFICIALE. COMPLETA DI TROUSSE, SERVICE BOOK, BORSA ATTREZZI, CHIAVI DOPPIE E DI TUTTE LE FATTURE DEI SERVICE ESEGUITI. SOSTITUZIONE CINGHIE DISTRIBUZIONE E FRIZIONE AVVENUTA A GENNAIO 2018, TAGLIANDO ANNUALE APPENA ESEGUITO.  
  
  
 PER ULTEIORI INFORMAZIONI VISITATE IL NOSTRO SITO 
 sito 
  
 ",https://www.subito.it/auto/ferrari-612-scaglietti-f1-cremona-330711237.htm,05/2004,57000,Sequenziale,75000
102,103,Ferrari f 512m,Testarossa/512 TR,Bellissima supercar Ferrari f 512m km. 31.000 anno 1995 astenersi perditempo,https://www.subito.it/auto/ferrari-f-512m-palermo-330705285.htm,06/1995,31000,-,165000
